Business_Name,Business_Address,License_Type,City,State,Latitude,Longitude,,,
SARTO'S,2900 W 25TH AVE,Hotel / Restaurant,Denver,CO,39.7534095,-105.0238487,,,
MAD GREENS,1200 ACOMA ST #A-101 ,Hotel / Restaurant,None,None,39.7362691,-104.9884562,,,
UNION LODGE NO. 1,1543 CHAMPA STSUITE 101 ,Tavern,Denver,CO,39.746276,-104.9946377,,,
TARGET STORE T-2820,7777 E HAMPDEN AVE,Retail,Denver,CO,39.6547562,-104.9006037,,,
MARG'S TACO BISTRO,1519 WYNKOOP ST,Hotel / Restaurant,Denver,CO,39.7514459,-105.0016923,,,
QDOBA MEXICAN EATS 2095,200 N QUEBEC STBLDG 600-115 ,Hotel / Restaurant,Denver,CO,39.7200488,-104.9017068,,,
EAST 28TH LIQUOR,3513 E 28TH AVE,Retail,Denver,CO,39.757084,-104.9460787,,, 
BONNIE BRAU WINE & LIQUOR MART,785 S UNIVERSITY BLVD,Retail,Denver,CO,39.7023557,-104.9597398,,,
SEICENTO BAROQUE ENSEMBLE,2201 S DELAWARE ST,Special Events,Denver,CO,39.6765284,-104.99251,,,
7-ELEVEN STORE 13209B,1090 N OGDEN ST,Retail,Denver,CO,39.733545,-104.9749979,,,
SWALLOW HILL MUSIC ASSOCIATION,71 E YALE AVE,Arts,Denver,CO,39.668015,-104.9868044,,,
MCNALLY'S LIQUOR,1950 S HOLLY STSUITE 1 ,Retail,Denver,CO,39.6815687,-104.9216836,,,
BUNGALOW LIQUORS,3000 W ALAMEDA AVE,Retail,Denver,CO,39.7108943,-105.0253781,,,
THE HALCYON,245 N COLUMBINE ,Special Events,Denver,CO,39.7204155,-104.9573302,,,
ELEANOR'S FORT GREENE BAR,321 E 45TH AVE,Tavern,Denver,CO,39.7784556,-104.9831301,,,
CALIFORNIA PIZZA KITCHEN,3000 E 1ST AVE UNIT 185 ,Hotel / Restaurant,Denver,CO,39.7173963,-104.9526207,,,
WASHINGTON STREET LIQUORS,757 E 20TH AVE #300 ,Retail,None,None,39.748482,-104.9775367,,,
THE RETRO ROOM,2034 LARIMER ST,Tavern,None,None,39.7532976,-104.9917682,,,
SIGNET JEWELRY,300 N FILLMORE ST,Arts,Denver,CO,39.721295,-104.952949,,,
COLORADO NONPROFIT DEVELOPMENT CENTER,2901 WALNUT ST,Special Events,Denver,CO,39.7623613,-104.9826508,,,
THE DENVER ART MUSEUM,100 W 14TH AVENUE PKWY,Special Events,Denver,CO,39.7371756,-104.9892578,,,
HANSON'S GRILL AND TAVERN,1301 S PEARL ST,Hotel / Restaurant,None,None,39.6928306,-104.9806425,,,
"JTLHOP, LLC",4856 N CHAMBERS RD,Retail,Denver,CO,39.7853627,-104.8094889,,,
